,Example Id,Prefix,Output,Training Text,Matching Token Count,Matching Output,Matching Reference,Prefix Length,model
0,0,"Jonas Burgert (; born 1969, West Berlin","Jonas Burgert (; born 1969, West Berlin, Germany) is a German-born American author, and a member of the American Academy of Arts and Sciences.

Biography

Early life and education
Burgert was born in Berlin, Germany, in 1969. He graduated from the University of Berlin in 1969. He graduated from the University of Berlin in 1970. He graduated from the University of Berlin in 1971. He graduated from the University of Berlin in 1972. He graduated from the","Jonas Burgert (; born 1969, West Berlin) is an artist based in Berlin.

He has shown work in many exhibitions including Rohkunstbau at Stipendiaten in Berlin, Geschichtenerzähler at Hamburg Kunsthalle  and Dis-Positiv at Staatsbank in Berlin. Burgert has exhibited internationally at museums and galleries such as Galerie Sfeir-Semler , Beirut and Villa Manin , Passariano, Italy and was part of the Malerei Biennale in Stockholm in 2003. He is represented by Produzentengalerie  in Hamburg BlainSouthern in London and Tang Contemporary Art  in Hong Kong.

See also
 List of German painters

References

External links
Jonasburgert.de

Category:German artists
Category:1969 births
Category:Living people
Category:German painters
Category:German male painters",0,"Jonas Burgert (; born 1969, West Berlin","Jonas Burgert (; born 1969, West Berlin",10,1.4b
1,1,"Edward Fairhurst (born May 7, 1979,","Edward Fairhurst (born May 7, 1979, New York City, New York, NY, USA) is an American professional tennis player.

Career

Professional career

Professional career

Professional career

Professional career

Professional career

Professional career

Professional career

Professional career

Professional career

Professional career

Professional career

Professional career

Professional career

Professional career

Professional career

Professional career

Professional career
","Edward Fairhurst (born May 7, 1979, in Regina, Saskatchewan) is a Wealth Advisor with RBC Dominion Securities and a Canadian former international rugby union player.

Fairhurst played primarily as a scrum half throughout his career making his debut for the Canada national team in May 2001. He was subsequently selected to the national squad for the 2003 Rugby World Cup in Australia, the 2007 Rugby World Cup in France and the 2011 Rugby World Cup. in New Zealand.

From 2001 - 2005 Fairhurst was a member of the national Seven-a-Side rugby team competing in 15 tournaments on the IRB Seven's World Series. In 2005 he was selected to the 2005 Seven-a-Side Rugby World Cup in Hong Kong.

In 2006 Fairhurst signed with the Cardiff Blues from the University of Victoria in British Columbia. He would play a year at Cardiff before moving to the south-west of England to play for the Cornish Pirates for the 2007–08 and 2008-09 seasons.

In 2009, Fairhurst joined RBC Dominion Securities in Vancouver, British Columbia. Edward holds both Chartered Investment Manager (CIM) and Certified Financial Planning (CFP) designations along with Securities, Options, Derivatives and Insurance (LLQP) licences.

In October 2012, Fairhurst announced his retirement from international rugby with 57 international appearances; the most by any Canadian scrum half.

Notes

Category:1979 births
Category:Living people
Category:Canadian rugby union players
Category:Cardiff Blues players
Category:Sportspeople from Regina, Saskatchewan
Category:Canadian expatriate sportspeople in Wales
Category:Canada international rugby union players
Category:Canada international rugby sevens players
Category:Male rugby sevens players
Category:Canadian expatriate sportspeople in England
Category:Canadian expatriate rugby union players
Category:Expatriate rugby union players in England
Category:Expatriate rugby union players in Wales",0,"Edward Fairhurst (born May 7, 1979,","Edward Fairhurst (born May 7, 1979,",10,1.4b
2,2,Torben Wosik is a male former international,"Torben Wosik is a male former international rugby player who played for the New Zealand national rugby team.

He was a member of the New Zealand national rugby team and played for the New Zealand national rugby team.

He was a member of the New Zealand national rugby team and played for the New Zealand national rugby team.

He was a member of the New Zealand national rugby team and played for the New Zealand national rugby team.

He was a member of the New","Torben Wosik is a male former international table tennis player from Germany.

He won a silver medal at the 2004 World Team Table Tennis Championships in the Swaythling Cup (men's team event) with Timo Boll, Zoltan Fejer-Konnerth, Jörg Roßkopf, and Christian Süß for Germany.

He also won four European Table Tennis Championships medals from 2000 until 2003.

See also
 List of table tennis players
 List of World Table Tennis Championships medalists

References

Category:1973 births
Category:Living people
Category:German male table tennis players
Category:People from Hamm",0,Torben Wosik is a male former international,Torben Wosik is a male former international,10,1.4b
3,3,Jens Knippschild (born 15 February 1975,"Jens Knippschild (born 15 February 1975), is a German-born American actor, director, and producer.

Career

Early life and education

Knippschild was born in Berlin, Germany, on 15 February 1975. He is the son of a German-born American actor, director, and producer. He is the son of a German-born American actor, director, and producer. He is the son of a German-born American actor, director, and producer","Jens Knippschild (born 15 February 1975) is a former tennis player from Germany, who turned professional in 1992. He has won two doubles titles (2001, Båstad and 2002, Bucharest) during his career. The right-hander reached his highest singles ATP-ranking on 9 August 1999, when he became the number 76 of the world.

Career finals

Titles (5)

Runners-up (5)

External links
 
 
 

Category:1975 births
Category:Living people
Category:People from Bad Arolsen
Category:German male tennis players
Category:Sportspeople from Hesse",0,Jens Knippschild (born 15 February 1975,Jens Knippschild (born 15 February 1975,10,1.4b
4,4,Ġnejna Bay () is a popular tourist,"Ġnejna Bay () is a popular tourist destination in the eastern part of the island. The beach is a popular destination for tourists and locals alike.

History
The island was founded in the early 19th century by the Dutch, who settled in the area around the island. The Dutch built a fort on the island, which was later renamed the Bay of Islands. The Dutch built a fort on the island, which was later renamed the Bay of Islands. The Dutch built a fort on","Ġnejna Bay () is a popular tourist destination located about 1 kilometer from the village of Mġarr on the western coast of Malta. The beach surrounding the bay is mostly sandy. A secluded strip of shore under the steep cliff on the northern side of the bay is a popular nudist beach, although the practice is technically illegal in Malta and frowned upon by the conservative Catholic population.

Ġnejna is notable for its striking clay slopes and limestone cliffs.  These serve as the headlands for one of Malta's few remaining perennial freshwater springs, that runs through Wied il-Ġnejna.  Although the valley is a protected area, its watercourse is considered at risk due to illegal damming and tapping.

On 30 June 2007, a boat with 26 illegal immigrants was intercepted at Ġnejna Bay by Maltese authorities.

Fishing
The fishermen of Ġnejna Bay use traditional techniques, such as attracting fish with lamps at night.

Fortifications
Above the bay, on a tall, rocky outcrop, is Lippia Tower (also known as Ta’ Lippia or Ġnejna Watch Tower), built in 1637 by Vincenzo Maculani upon orders from Grand Master Giovanni Paolo Lascaris.   Lippia Tower formed part of the intricate coastal defence network constructed by the Knights of St. John.  Watchguards housed in Lippia Tower and a nearby tower at Għajn Tuffieħa, would communicate with the inland Nadur Tower by means of flags by day and bonfires by night, which would, in turn, raise the alarm in the walled city of Mdina when corsairs were sighted off the western coast of Malta.

Ġnejna has a pillbox dating from the Second World War, camouflaged to look like a farmhouse.

The Legend of Castello Zammitello

The road leading down towards Ġnejna Bay features Castello Zamittello, a fortified house built in 1675 in a Norman style.  According to local legend, Lucia, the only daughter of a certain Baron Bernardo Zammit, disappeared from her bedroom on the morning of her wedding to a wealthy Sicilian count, some 300 years ago. ",1,Ġnejna Bay () is a popular tourist destination,Ġnejna Bay () is a popular tourist destination,10,1.4b
5,5,"Powers may refer to:

Arts","Powers may refer to:

Arts and Entertainment

Arts and Entertainment

Arts and Entertainment

Arts and Entertainment

Arts and Entertainment

Arts and Entertainment

Arts and Entertainment

Arts and Entertainment

Arts and Entertainment

Arts and Entertainment

Arts and Entertainment

Arts and Entertainment

Arts and Entertainment

Arts and Entertainment

Arts and Entertainment

Arts","Powers may refer to:

Arts and entertainment
 Powers (comics), an American creator-owned comic book series by Brian Michael Bendis and Michael Avon Oeming
 Powers (U.S. TV series), a PlayStation Network series, based on the comics, originally for FX Network
 Powers (UK TV series), a 2004 children's science-fiction TV series.
 Powers (novel), a novel in the Annals of the Western Shore series by Ursula K. Le Guin

Places

United States
 Powers, Indiana
 Powers, Michigan
 Powers Township, Cass County, Minnesota
 Powers Lake, North Dakota
 Powers, Oregon
 Powers, West Virginia
 Powers Ferry, an historic ferry on the Chattahoochee River in the Atlanta area, Georgia

People with the surname
 Abigail Fillmore (née Abigail Powers, 1798–1853), First Lady of the United States
 Albert E. Powers (1816–1910), President of Rensselaer Polytechnic Institute
 Ann Powers (born 1964), American writer and pop music critic
 Caleb Powers (1869–1932), US Representative from Kentucky
 Chet Powers (Chester William Powers Jr., 1937–1994), American singer-songwriter
 D. Lane Powers (1896–1968), US Representative from New Jersey
 Darrell Powers (""Shifty"" Powers, 1923–2009), American WWII veteran portrayed in Band of Brothers
 David Powers (1912–1998), Special Assistant to John F. Kennedy
 Doc Powers (Michael Riley Powers, 1870–1909) an American Major League Baseball player
 Georgia Davis Powers (1923–2016), Kentucky politician
 Gershom Powers (1789–1831), US Representative from New York
 Francis Gary Powers (1929–1977), American pilot who was shot down over the Soviet Union in 1960
 Hardy Powers (1900–1972), general superintendent in the Church of the Nazarene
 Harold Powers (1928–2007), American musicologist, ethnomusicologist, and music theorist
 Harold J. Powers (1900–1996), Lieutenant Governor of California
 Harriet Powers (1837–1910), African American slave, folk artist and noted quilt maker
 Hiram Powers (1805–1873), American neoclassical sculptor
 Horace Henry Powers (1835–1913)",1,"Powers may refer to:

Arts and","Powers may refer to:

Arts and",10,1.4b
6,6,Bershad Raion () is one of the,Bershad Raion () is one of the most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and most important and,"Bershad Raion () is one of the 33 regions of Vinnytsia Oblast, located in southwestern Ukraine. The administrative center of the raion is the town of Bershad. Population:

References

Category:Raions of Vinnytsia Oblast",0,Bershad Raion () is one of the,Bershad Raion () is one of the,10,1.4b
7,7,Kirsten Drysdale (born 1984),"Kirsten Drysdale (born 1984) is a retired American professional tennis player.

Career

Drysdale was born in New York City, and moved to the United States in 1984. He made his professional debut in the singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles singles","Kirsten Drysdale (born 1984) is an Australian television presenter and journalist.

Drysdale was born and raised in Mackay, Queensland.

Before beginning her career at the ABC, Drysdale worked for a production company in Brisbane that produced documentaries and multimedia for museums and exhibitions. During this time, she was also pursuing a sporting career, playing hockey for the Queensland Scorchers. After suffering an injury, she successfully applied for a position in the ABC television comedy and current affairs programme, Project NEXT, which was later renamed Hungry Beast.

She was a researcher and presenter for Hungry Beast and a researcher for The Hamster Wheel, The Hamster Decides and The Gruen Transfer. She has also occasionally appeared on Radio National, where she hosted Talking Shop,  a weekly series that delves deep into marketing spin and consumer psychology to find out why we buy what we buy - and how we can buy better, The series ended on August 5, 2014. Drysdale has also written for Crikey, The Feed (Australian TV series) and The Global Mail. She was a writer and one of the main presenters on the ABC consumer affairs comedy programme, The Checkout.

Drysale's memoir, I Built No Schools in Kenya: A Year of Unmitigated Madness, was published in January 2019 by Vintage Australia.

References

External links

Profile on ABC Radio National website

Category:Australian television presenters
Category:Australian female field hockey players
Category:Living people
Category:People from Mackay, Queensland
Category:1984 births
Category:Women television presenters",1,Kirsten Drysdale (born 1984) is,Kirsten Drysdale (born 1984) is,10,1.4b
8,8,"Louis Joseph Xavier, Duke of Burgundy (13","Louis Joseph Xavier, Duke of Burgundy (13th century), was a French-born French-born American, and a member of the House of Representatives of the United States.

Biography

Early life and education

Joseph Xavier was born in the village of Saint-Denis, in the commune of Saint-Denis, in the commune of Saint-Denis, in the commune of Saint-Denis, in the commune of Saint-Denis, in the commune of","Louis Joseph Xavier, Duke of Burgundy (13 September 1751 – 22 March 1761), was a French prince of the House of Bourbon and heir apparent of the throne of France. Although he was the first live-birth son, he died of extra-pulmonary tuberculosis at the young age of 9.

Early life

Louis Joseph Xavier was born at the Palace of Versailles. He was the third surviving child and eldest son of Louis, Dauphin of France and Maria Josepha of Saxony, and was thus the oldest brother to the future kings Louis XVI, Louis XVIII and Charles X. It is a known fact that he was the favorite child of his parents, and was said to be handsome and bright.

He was put in the care of Marie Isabelle de Rohan and given the title of Duke of Burgundy by his grandfather, King Louis XV. He was much loved by those who were close to him, especially his older sister Marie Zéphyrine, who died at the age of five in 1755. It is unknown if the Duke, who was not even four years old yet, was affected by this.  But it is known, however, that the absence of his older sister was felt by the Duke.

Death

The young Duke was pushed off a wooden horse by one of his playmates in 1759. As he was recognized for his kindness, he did not tell anyone about this, in order to prevent his friend from getting into any trouble. After this incident, the Duke of Burgundy's health started to deteriorate quickly. The family's physician, Dr. Barbier, decided to operate on him in 1760. The Duke was operated on while he was conscious. Knowing that he would die, the Dauphin had him baptised on 29 November 1760, with Louis XV and Marie Leszczyńska, his grandparents, as his godparents. Until that moment, he had been known just as ""Burgundy"". By 1761, the Duke was bound to his bed, unable to move his legs, with what was diagnosed as extra pulmonary tuberculosis of the bone. He would later die from this disease, on 22 March 1761.

Ancestors

References

Category:1751 births
Category:1761 deaths
Cate",0,"Louis Joseph Xavier, Duke of Burgundy (13","Louis Joseph Xavier, Duke of Burgundy (13",10,1.4b
9,9,Acacia Villas is a census-designated,"Acacia Villas is a census-designated place of the state of California, and is located in the San Francisco Bay Area. The population was 1,968.

Geography
According to the United States Census Bureau, the state has a total area of, all land.

Demographics

As of the census of 2000, there were 1,968 people, 1,968 households, and 1,968 families residing in the state.  The population density","Acacia Villas is a census-designated place in Palm Beach County, Florida, United States. Its population was 427 as of the 2010 census. Acacia Villas is located on the east side of State Road 809; it borders Palm Springs on its north, east, and south sides.

Demographics

References

Category:Census-designated places in Palm Beach County, Florida
Category:Census-designated places in Florida",1,Acacia Villas is a census-designated place,Acacia Villas is a census-designated place,10,1.4b
