,generation,perplexity (160m)
0," citrus

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|

|",1.1421283
1, Less Than A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A,1.1437154
2," Long, Long Long Short Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long",1.1736959
3,mare(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf(nameOf,1.1973656
4," Long Long Long.

The long-sought Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long Long",1.3424656
5,"“[k] = [k]

(1)

(2)

(3)

(4)

(5)

(6)

(7)

(8)

(9)

(10)

(11)

(12)

(13)

(14)

(15)

(16)

(17)

(18)

(",1.3846476
6,"slowly_move.
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.  
Q.",1.4217397
7," Brunswick

Narrated for

Cite

Cite

Cite

Cite

Cite

Cite

Cite

Cite

Cite

Cite

Cite

Cite

Cite

Cite

Cite

Cite

Cite

Cite

Cite

Cite

Cite

Cite

Cite
",1.4880248
8," Hsp Hsp Hsp Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp, Hsp- Hsp- Hsp- Hsp- Hsp- Hsp family Hsp70 Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- Hsp- H- Hsp",1.5353976
9,"ConstructorConstructor"",
			""EXCILateConstructorFactory"", ""EXCILateConstructorFactory"", ""EXCILateConstructorFactory"", ""EXCILateConstructorFactory"", ""EXCILateConstructorFactory"", ""EXCILateConstructorFactory"", ""EXCILateConstructorFactory"", ""EXCILateConstructorFactory"", ""EXCILateConstructorFactory"", ""EXCILateConstructorFactory"", ""EXCILateConstructorFactory"", ""EXCILateConstructorFactory",1.6290307
